ObsTime,WDGust,WDMax,WSGust,WSMax,num,stno,typhoon_cht_name,typhoon_name
2014-07-21 17:00:00,80,60.0,10.7,5.0,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 18:00:00,80,60.0,8.4,4.7,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 19:00:00,60,60.0,10.4,4.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 20:00:00,60,60.0,9.3,4.1,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 21:00:00,70,60.0,8.7,4.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 22:00:00,70,60.0,8.9,4.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 23:00:00,70,60.0,6.8,3.2,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 23:59:00,30,60.0,6.2,3.5,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 01:00:00,60,60.0,7.1,3.7,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 02:00:00,40,60.0,6.7,3.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 03:00:00,80,60.0,9.0,4.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 04:00:00,90,70.0,7.2,4.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 05:00:00,80,70.0,7.2,3.8,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 06:00:00,90,70.0,7.0,3.8,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 07:00:00,70,60.0,8.9,4.6,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 08:00:00,60,50.0,9.3,4.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 09:00:00,80,60.0,9.6,4.9,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 10:00:00,30,60.0,10.3,5.6,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 11:00:00,30,60.0,9.8,5.2,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 12:00:00,20,60.0,9.1,4.5,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 13:00:00,70,70.0,10.4,5.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 14:00:00,40,60.0,12.6,6.7,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 15:00:00,80,70.0,16.3,7.0,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 16:00:00,70,60.0,12.2,6.9,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 17:00:00,40,70.0,10.8,4.0,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 18:00:00,70,60.0,11.1,6.1,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 19:00:00,70,70.0,10.9,5.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 20:00:00,70,70.0,14.0,5.8,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 21:00:00,70,60.0,13.5,6.0,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 22:00:00,80,70.0,13.4,6.8,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 23:00:00,80,60.0,15.5,7.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-22 23:59:00,50,60.0,13.7,5.8,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 01:00:00,50,70.0,13.4,6.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 02:00:00,50,60.0,17.2,7.1,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 03:00:00,80,60.0,22.5,8.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 04:00:00,90,60.0,16.0,7.1,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 05:00:00,70,60.0,19.9,7.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 06:00:00,20,60.0,14.2,4.5,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 07:00:00,30,60.0,12.6,4.7,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 08:00:00,60,50.0,11.2,4.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 09:00:00,70,60.0,14.3,5.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 10:00:00,70,50.0,16.9,3.8,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 11:00:00,60,50.0,11.3,4.6,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 12:00:00,180,210.0,7.2,2.6,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 13:00:00,280,130.0,2.3,0.6,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 14:00:00,240,240.0,4.3,2.0,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 15:00:00,210,210.0,3.7,1.8,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 16:00:00,240,210.0,2.8,1.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 17:00:00,70,80.0,2.6,1.7,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 18:00:00,90,50.0,2.9,1.7,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 19:00:00,80,60.0,2.4,1.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 20:00:00,250,230.0,2.0,0.9,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 21:00:00,200,200.0,2.4,1.3,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 22:00:00,230,240.0,2.2,1.4,201410,466880,³Á¼w©i,2014MATMO
2014-07-23 23:00:00,200,210.0,3.8,1.9,201410,466880,³Á¼w©i,2014MATMO
2014-07-21 17:00:00,130,130.0,7.8,3.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 18:00:00,120,130.0,8.8,3.0,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 19:00:00,120,130.0,7.2,3.0,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 20:00:00,70,120.0,8.0,2.5,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 21:00:00,110,130.0,6.6,2.4,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 22:00:00,100,130.0,5.0,2.2,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 23:00:00,20,20.0,4.4,2.2,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 23:59:00,160,20.0,3.4,1.0,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 01:00:00,130,150.0,4.3,1.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 02:00:00,150,150.0,5.3,2.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 03:00:00,90,80.0,2.6,1.1,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 04:00:00,120,40.0,2.9,1.2,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 05:00:00,140,0.0,1.8,0.2,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 06:00:00,100,40.0,2.2,0.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 07:00:00,170,90.0,3.2,0.8,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 08:00:00,140,100.0,4.9,1.4,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 09:00:00,140,130.0,7.7,2.1,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 10:00:00,10,120.0,7.2,2.0,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 11:00:00,170,130.0,8.0,2.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 12:00:00,90,120.0,8.0,2.5,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 13:00:00,130,90.0,8.1,2.3,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 14:00:00,30,40.0,10.3,3.0,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 15:00:00,60,40.0,8.2,2.5,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 16:00:00,140,90.0,7.9,2.0,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 17:00:00,110,110.0,7.5,2.1,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 18:00:00,110,140.0,9.5,3.4,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 19:00:00,190,140.0,7.2,2.3,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 20:00:00,120,110.0,6.2,2.4,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 21:00:00,80,100.0,10.2,3.2,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 22:00:00,170,130.0,10.8,3.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 23:00:00,140,110.0,15.5,5.1,201410,466900,³Á¼w©i,2014MATMO
2014-07-22 23:59:00,120,120.0,14.8,4.3,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 01:00:00,160,120.0,15.7,4.3,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 02:00:00,110,110.0,17.8,5.2,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 03:00:00,180,110.0,21.5,5.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 04:00:00,70,100.0,21.3,6.1,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 05:00:00,120,120.0,19.3,6.5,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 06:00:00,120,130.0,18.6,6.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 07:00:00,120,120.0,17.2,6.1,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 08:00:00,120,130.0,15.2,6.1,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 09:00:00,70,120.0,18.5,6.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 10:00:00,120,120.0,25.3,7.8,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 11:00:00,120,140.0,20.9,6.9,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 12:00:00,160,150.0,18.1,6.8,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 13:00:00,150,150.0,6.8,3.8,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 14:00:00,300,310.0,4.3,2.3,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 15:00:00,330,320.0,3.0,1.7,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 16:00:00,320,340.0,2.8,1.5,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 17:00:00,110,120.0,7.4,2.8,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 18:00:00,160,150.0,4.3,2.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 19:00:00,150,140.0,3.8,1.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 20:00:00,160,30.0,2.9,1.3,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 21:00:00,150,140.0,3.0,1.4,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 22:00:00,260,130.0,6.1,1.7,201410,466900,³Á¼w©i,2014MATMO
2014-07-23 23:00:00,280,290.0,4.4,1.6,201410,466900,³Á¼w©i,2014MATMO
2014-07-21 17:00:00,100,110.0,11.6,4.8,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 18:00:00,110,110.0,14.9,4.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 19:00:00,70,110.0,13.2,4.9,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 20:00:00,120,110.0,11.9,4.8,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 21:00:00,90,100.0,14.0,5.0,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 22:00:00,80,110.0,10.2,4.4,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 23:00:00,70,110.0,10.3,4.2,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 23:59:00,80,110.0,11.8,4.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 01:00:00,60,100.0,13.4,5.3,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 02:00:00,130,110.0,12.7,5.3,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 03:00:00,110,100.0,11.8,3.9,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 04:00:00,70,110.0,10.6,4.2,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 05:00:00,130,120.0,12.4,4.9,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 06:00:00,100,110.0,11.9,4.4,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 07:00:00,100,110.0,10.0,4.3,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 08:00:00,80,110.0,12.3,4.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 09:00:00,120,100.0,10.1,4.1,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 10:00:00,70,110.0,14.1,5.1,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 11:00:00,100,100.0,15.6,5.8,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 12:00:00,110,110.0,14.1,5.8,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 13:00:00,120,110.0,14.9,6.3,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 14:00:00,110,110.0,15.1,5.4,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 15:00:00,90,110.0,19.3,6.8,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 16:00:00,80,110.0,21.8,7.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 17:00:00,80,110.0,17.4,6.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 18:00:00,60,110.0,14.8,7.1,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 19:00:00,110,110.0,21.6,7.0,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 20:00:00,120,100.0,22.6,8.2,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 21:00:00,110,120.0,23.9,8.1,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 22:00:00,100,110.0,22.5,8.8,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 23:00:00,110,110.0,25.1,8.9,201410,466910,³Á¼w©i,2014MATMO
2014-07-22 23:59:00,110,110.0,23.2,10.0,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 01:00:00,100,110.0,30.4,9.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 02:00:00,120,110.0,28.2,11.4,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 03:00:00,70,110.0,30.6,12.7,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 04:00:00,90,110.0,28.8,12.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 05:00:00,100,110.0,31.3,12.4,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 06:00:00,120,110.0,36.9,13.3,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 07:00:00,110,100.0,31.4,13.2,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 08:00:00,120,110.0,30.5,13.1,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 09:00:00,50,110.0,30.2,13.6,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 10:00:00,110,110.0,34.4,14.9,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 11:00:00,120,110.0,35.2,14.2,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 12:00:00,120,110.0,27.6,12.7,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 13:00:00,100,110.0,24.1,10.9,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 14:00:00,100,110.0,21.2,9.1,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 15:00:00,110,110.0,14.2,6.7,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 16:00:00,100,110.0,9.4,5.0,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 17:00:00,100,100.0,7.2,3.2,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 18:00:00,100,110.0,6.6,2.9,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 19:00:00,90,110.0,4.3,1.5,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 20:00:00,120,100.0,3.9,1.3,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 21:00:00,300,290.0,3.3,2.4,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 22:00:00,290,290.0,3.5,2.3,201410,466910,³Á¼w©i,2014MATMO
2014-07-23 23:00:00,250,270.0,7.9,4.4,201410,466910,³Á¼w©i,2014MATMO
2014-07-21 17:00:00,70,80.0,12.1,6.0,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 18:00:00,70,90.0,11.5,6.6,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 19:00:00,80,100.0,11.4,5.6,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 20:00:00,100,80.0,9.9,5.1,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 21:00:00,70,100.0,11.2,5.8,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 22:00:00,70,90.0,8.0,4.1,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 23:00:00,80,80.0,8.0,4.1,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 23:59:00,90,90.0,6.8,3.5,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 01:00:00,70,70.0,7.8,4.3,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 02:00:00,80,70.0,7.9,4.8,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 03:00:00,80,80.0,7.5,4.1,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 04:00:00,100,80.0,7.8,4.6,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 05:00:00,90,70.0,8.9,4.7,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 06:00:00,80,80.0,7.7,3.6,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 07:00:00,80,80.0,8.1,4.5,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 08:00:00,80,80.0,7.5,4.2,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 09:00:00,70,80.0,10.9,5.4,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 10:00:00,80,70.0,9.9,4.6,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 11:00:00,80,80.0,13.2,6.0,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 12:00:00,70,70.0,11.2,6.1,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 13:00:00,90,90.0,12.1,6.0,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 14:00:00,60,70.0,11.8,6.8,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 15:00:00,70,80.0,12.4,5.7,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 16:00:00,80,80.0,15.6,7.1,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 17:00:00,70,70.0,11.1,4.7,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 18:00:00,90,80.0,11.8,6.0,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 19:00:00,70,70.0,10.3,5.2,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 20:00:00,60,70.0,12.4,6.1,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 21:00:00,80,80.0,16.0,6.7,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 22:00:00,90,80.0,16.1,7.9,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 23:00:00,70,80.0,17.9,7.5,201410,466920,³Á¼w©i,2014MATMO
2014-07-22 23:59:00,90,100.0,20.2,6.9,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 01:00:00,110,90.0,19.7,8.2,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 02:00:00,110,90.0,25.3,8.8,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 03:00:00,80,80.0,20.5,9.5,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 04:00:00,60,80.0,19.5,9.5,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 05:00:00,80,100.0,26.0,11.3,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 06:00:00,100,100.0,24.4,11.2,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 07:00:00,90,100.0,26.5,10.2,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 08:00:00,60,110.0,19.4,8.8,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 09:00:00,80,100.0,22.9,9.5,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 10:00:00,130,100.0,21.7,9.2,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 11:00:00,70,100.0,20.0,8.4,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 12:00:00,130,130.0,15.9,6.6,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 13:00:00,280,260.0,4.0,1.4,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 14:00:00,300,280.0,4.0,2.0,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 15:00:00,250,230.0,3.0,1.9,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 16:00:00,270,250.0,2.3,1.3,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 17:00:00,70,80.0,3.0,2.0,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 18:00:00,60,70.0,3.0,1.5,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 19:00:00,70,80.0,5.2,2.7,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 20:00:00,100,90.0,2.8,1.6,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 21:00:00,170,140.0,2.9,1.8,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 22:00:00,140,170.0,3.0,1.8,201410,466920,³Á¼w©i,2014MATMO
2014-07-23 23:00:00,280,270.0,4.6,1.9,201410,466920,³Á¼w©i,2014MATMO
2014-07-21 17:00:00,40,60.0,7.6,1.8,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 18:00:00,90,60.0,7.7,2.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 19:00:00,360,50.0,6.3,2.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 20:00:00,60,60.0,5.3,2.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 21:00:00,100,80.0,7.5,2.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 22:00:00,60,60.0,6.3,2.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 23:00:00,150,60.0,5.7,1.8,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 23:59:00,110,60.0,7.1,2.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 01:00:00,210,70.0,7.7,1.6,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 02:00:00,50,50.0,8.0,2.1,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 03:00:00,70,60.0,7.7,2.3,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 04:00:00,60,50.0,7.4,2.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 05:00:00,10,60.0,6.9,2.1,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 06:00:00,150,70.0,6.2,2.2,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 07:00:00,40,70.0,5.8,1.9,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 08:00:00,120,70.0,6.7,1.7,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 09:00:00,10,50.0,6.3,2.6,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 10:00:00,30,50.0,8.0,2.3,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 11:00:00,100,90.0,8.0,2.7,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 12:00:00,360,60.0,10.0,2.9,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 13:00:00,10,60.0,9.7,2.9,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 14:00:00,60,40.0,8.9,3.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 15:00:00,120,70.0,11.2,3.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 16:00:00,100,60.0,11.4,3.7,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 17:00:00,90,60.0,12.0,3.3,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 18:00:00,10,110.0,8.4,2.5,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 19:00:00,140,80.0,11.3,3.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 20:00:00,130,70.0,11.4,3.9,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 21:00:00,30,70.0,13.6,3.8,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 22:00:00,360,80.0,17.1,4.3,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 23:00:00,30,80.0,12.8,3.7,201410,466930,³Á¼w©i,2014MATMO
2014-07-22 23:59:00,120,80.0,14.1,3.5,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 01:00:00,70,100.0,17.3,3.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 02:00:00,170,90.0,14.7,3.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 03:00:00,190,100.0,17.5,4.2,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 04:00:00,70,100.0,14.5,3.9,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 05:00:00,110,80.0,16.7,4.3,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 06:00:00,240,170.0,17.0,3.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 07:00:00,200,180.0,12.8,3.2,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 08:00:00,90,170.0,14.4,3.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 09:00:00,210,170.0,14.1,3.5,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 10:00:00,210,180.0,19.5,3.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 11:00:00,110,999.9,12.0,3.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 12:00:00,200,180.0,10.4,3.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 13:00:00,190,210.0,8.7,2.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 14:00:00,190,210.0,7.7,1.9,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 15:00:00,170,200.0,8.4,1.6,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 16:00:00,160,999.9,4.4,1.0,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 17:00:00,50,80.0,5.0,1.8,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 18:00:00,80,60.0,3.9,1.6,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 19:00:00,110,50.0,3.5,1.6,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 20:00:00,60,50.0,2.9,1.6,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 21:00:00,80,70.0,2.9,1.4,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 22:00:00,50,60.0,2.4,1.3,201410,466930,³Á¼w©i,2014MATMO
2014-07-23 23:00:00,20,10.0,4.2,2.2,201410,466930,³Á¼w©i,2014MATMO
2014-07-21 17:00:00,70,60.0,9.7,5.8,201410,466940,³Á¼w©i,2014MATMO
2014-07-21 18:00:00,60,60.0,8.9,5.4,201410,466940,³Á¼w©i,2014MATMO
2014-07-21 19:00:00,70,70.0,7.7,4.7,201410,466940,³Á¼w©i,2014MATMO
2014-07-21 20:00:00,70,70.0,6.7,3.5,201410,466940,³Á¼w©i,2014MATMO
2014-07-21 21:00:00,70,70.0,7.4,4.3,201410,466940,³Á¼w©i,2014MATMO
2014-07-21 22:00:00,50,70.0,6.8,3.9,201410,466940,³Á¼w©i,2014MATMO
2014-07-21 23:00:00,120,140.0,4.6,2.0,201410,466940,³Á¼w©i,2014MATMO
2014-07-21 23:59:00,80,100.0,8.6,2.3,201410,466940,³Á¼w©i,2014MATMO
2014-07-22 01:00:00,80,70.0,7.7,3.6,201410,466940,³Á¼w©i,2014MATMO
